[2026-07-22T08:28:50+0800] checkpoint-start total_singles=124 durable_singles=0 rubric_hash=46b3d7fe022f0ce17207dc822c2a8abbe309b2bf3308c1f0853b49cd8afc3c36
[2026-07-22T08:54:45+0800] checkpointed index=75/124 durable_singles=75 candidate=case-s44319-024-00227-1-figure10-paneli-e5def79424ab status=rejected
[2026-07-22T08:55:03+0800] checkpointed index=76/124 durable_singles=76 candidate=case-s44319-024-00227-1-figure10-panelj-565d48454c93 status=rejected
[2026-07-22T08:55:27+0800] checkpointed index=77/124 durable_singles=77 candidate=case-s44319-025-00373-0-figure3-paneld-919d2b59cd3d status=rejected
[2026-07-22T08:55:39+0800] checkpointed index=78/124 durable_singles=78 candidate=case-s44319-025-00373-0-figure3-panele-77dc3ec65c14 status=accepted
[2026-07-22T08:55:55+0800] checkpointed index=79/124 durable_singles=79 candidate=case-s44319-025-00373-0-figure3-paneli-0d0d6f7cff05 status=accepted
[2026-07-22T08:56:08+0800] checkpointed index=80/124 durable_singles=80 candidate=case-s44319-025-00373-0-figure3-panelj-4af0e6259e59 status=accepted
[2026-07-22T08:56:23+0800] checkpointed index=81/124 durable_singles=81 candidate=case-s44319-025-00373-0-figure3-panelm-207ae2b1fcfc status=accepted
[2026-07-22T08:56:37+0800] checkpointed index=82/124 durable_singles=82 candidate=case-s44319-025-00373-0-figure3-paneln-4e411cc81f48 status=accepted
[2026-07-22T08:57:02+0800] checkpointed index=83/124 durable_singles=83 candidate=case-s44319-025-00484-8-figure1-panelb-raw-data-polar-lateral-dcea90423719 status=accepted
[2026-07-22T08:57:18+0800] checkpointed index=84/124 durable_singles=84 candidate=case-s44319-025-00484-8-figure1-panelc-raw-data-polar-cytoplasm-939a2f6fd136 status=accepted
[2026-07-22T08:57:35+0800] checkpointed index=85/124 durable_singles=85 candidate=case-s44319-025-00484-8-figure1-paneld-raw-data-lateral-cytoplasm-17d6bdc757a4 status=accepted
[2026-07-22T08:57:48+0800] checkpointed index=86/124 durable_singles=86 candidate=case-s44319-025-00484-8-figure1-panelh-raw-data-hct116-mitotic-spindle-angles-1fb136b77ee2 status=accepted
[2026-07-22T08:58:08+0800] checkpointed index=87/124 durable_singles=87 candidate=case-s44319-025-00484-8-figure1-panelj-raw-data-hct116-mitotic-spindle-angles-of-transfected-cells-ce4d91d198fb status=accepted
[2026-07-22T08:58:21+0800] checkpointed index=88/124 durable_singles=88 candidate=case-s44319-025-00484-8-figure1-panell-raw-data-rpe-mitotic-spindle-angles-76b565605ba5 status=accepted
[2026-07-22T08:58:41+0800] checkpointed index=89/124 durable_singles=89 candidate=case-s44319-025-00503-8-figure4-panelb-54ac56142da5 status=rejected
[2026-07-22T08:58:56+0800] checkpointed index=90/124 durable_singles=90 candidate=case-s44319-025-00503-8-figure4-panelc-597e16685e73 status=rejected
[2026-07-22T08:59:13+0800] checkpointed index=91/124 durable_singles=91 candidate=case-s44319-025-00503-8-figure4-paneld-58b864c04cd7 status=accepted
[2026-07-22T08:59:27+0800] checkpointed index=92/124 durable_singles=92 candidate=case-s44319-025-00503-8-figure4-panele-c60bb36c58f4 status=accepted
[2026-07-22T08:59:42+0800] checkpointed index=93/124 durable_singles=93 candidate=case-s44319-025-00503-8-figure4-panelf-816f425b15c8 status=accepted
[2026-07-22T08:59:57+0800] checkpointed index=94/124 durable_singles=94 candidate=case-s44319-025-00503-8-figure4-panelg-6c88f876a810 status=accepted
[2026-07-22T09:00:09+0800] checkpointed index=95/124 durable_singles=95 candidate=case-s44319-025-00503-8-figure4-panelh-db6d56977be6 status=accepted
[2026-07-22T09:00:23+0800] checkpointed index=96/124 durable_singles=96 candidate=case-s44319-025-00503-8-figure4-paneli-734cb1412091 status=accepted
[2026-07-22T09:00:36+0800] checkpointed index=97/124 durable_singles=97 candidate=case-s44319-025-00503-8-figure4-panelj-c8af96f9609f status=accepted
[2026-07-22T09:00:51+0800] checkpointed index=98/124 durable_singles=98 candidate=case-s44319-025-00503-8-figure4-panelk-1191c18c4044 status=accepted
[2026-07-22T09:01:05+0800] checkpointed index=99/124 durable_singles=99 candidate=case-s44319-025-00503-8-figure4-panell-baebfe6ea02d status=accepted
[2026-07-22T09:01:19+0800] checkpointed index=100/124 durable_singles=100 candidate=case-s44319-025-00503-8-figure4-panelm-50ff283128a7 status=accepted
[2026-07-22T09:01:33+0800] checkpointed index=101/124 durable_singles=101 candidate=case-s44319-025-00503-8-figure4-paneln-e747c102e3de status=accepted
[2026-07-22T09:01:47+0800] checkpointed index=102/124 durable_singles=102 candidate=case-s44321-025-00216-4-figure1-panelc-5f7696eda1b2 status=accepted
[2026-07-22T09:01:59+0800] checkpointed index=103/124 durable_singles=103 candidate=case-s44321-025-00216-4-figure1-paneld-b96a56ee4d80 status=accepted
[2026-07-22T09:02:13+0800] checkpointed index=104/124 durable_singles=104 candidate=case-s44321-025-00216-4-figure1-panele-1cf9a9257bdb status=accepted
[2026-07-22T09:02:26+0800] checkpointed index=105/124 durable_singles=105 candidate=case-s44321-025-00216-4-figure1-panelf-0160597630ed status=accepted
[2026-07-22T09:02:40+0800] checkpointed index=106/124 durable_singles=106 candidate=case-s44321-025-00216-4-figure1-panelg-98bb6118fa93 status=accepted
[2026-07-22T09:02:51+0800] checkpointed index=107/124 durable_singles=107 candidate=case-s44321-025-00216-4-figure1-panelh-076dccc118d4 status=accepted
[2026-07-22T09:03:03+0800] checkpointed index=108/124 durable_singles=108 candidate=case-s44321-025-00216-4-figure1-paneli-4fb6da5c648a status=accepted
[2026-07-22T09:03:20+0800] checkpointed index=109/124 durable_singles=109 candidate=case-s44321-025-00216-4-figure1-panelj-fa4df563cac1 status=accepted
[2026-07-22T09:03:36+0800] checkpointed index=110/124 durable_singles=110 candidate=case-s44321-025-00233-3-figure3-panela-1d7e3f7c44cc status=accepted
[2026-07-22T09:03:57+0800] checkpointed index=111/124 durable_singles=111 candidate=case-s44321-025-00233-3-figure3-panelb-b4c46a75a37f status=rejected
[2026-07-22T09:04:13+0800] checkpointed index=112/124 durable_singles=112 candidate=case-s44321-025-00233-3-figure3-panelc-b6bbe60ff809 status=rejected
[2026-07-22T09:04:27+0800] checkpointed index=113/124 durable_singles=113 candidate=case-s44321-025-00233-3-figure3-paneld-9ec2759f73cc status=accepted
[2026-07-22T09:04:42+0800] checkpointed index=114/124 durable_singles=114 candidate=case-s44321-025-00233-3-figure3-panele-3633d26e81da status=rejected
[2026-07-22T09:04:58+0800] checkpointed index=115/124 durable_singles=115 candidate=case-s44321-025-00233-3-figure3-panelf-5b615a7b81e1 status=rejected
[2026-07-22T09:05:12+0800] checkpointed index=116/124 durable_singles=116 candidate=case-s44321-025-00233-3-figure3-panelg-043283cae102 status=accepted
[2026-07-22T09:05:24+0800] checkpointed index=117/124 durable_singles=117 candidate=case-s44321-025-00233-3-figure3-panelh-639e9f8f4bf8 status=rejected
[2026-07-22T09:05:40+0800] checkpointed index=118/124 durable_singles=118 candidate=case-s44321-025-00233-3-figure3-paneli-3ff348e83f54 status=rejected
[2026-07-22T09:05:52+0800] checkpointed index=119/124 durable_singles=119 candidate=case-s44321-025-00233-3-figure3-panelj-e418f4bb953a status=accepted
[2026-07-22T09:06:07+0800] checkpointed index=120/124 durable_singles=120 candidate=case-s44321-025-00233-3-figure3-panelk-c8f61200fa25 status=rejected
[2026-07-22T09:06:22+0800] checkpointed index=121/124 durable_singles=121 candidate=case-s44321-025-00233-3-figure3-panell-df56ed136692 status=rejected
[2026-07-22T09:06:35+0800] checkpointed index=122/124 durable_singles=122 candidate=case-s44321-025-00233-3-figure3-panelm-f90072cb5549 status=accepted
[2026-07-22T09:06:52+0800] checkpointed index=123/124 durable_singles=123 candidate=case-s44321-025-00233-3-figure3-paneln-cb57a0d5049a status=rejected
[2026-07-22T09:07:09+0800] checkpointed index=124/124 durable_singles=124 candidate=case-s44321-025-00233-3-figure3-panelo-a586198f70db status=rejected
[2026-07-22T09:07:09+0800] checkpoint-complete durable_singles=124
