[2026-07-22T03:29:55+0800] checkpoint-start total_singles=127 durable_singles=0 rubric_hash=c58d94232a71b5ff9f5ec4518f3e83dcba6c34938fa762818b21726544d82c5f
[2026-07-22T03:53:38+0800] checkpointed index=60/127 durable_singles=60 candidate=case-s44318-024-00067-8-figure4-panele-a84804f3f065 status=rejected
[2026-07-22T03:54:01+0800] checkpointed index=61/127 durable_singles=61 candidate=case-s44318-024-00185-3-figure5-panele-survival-curve-replicate-1-35b0e5e25910 status=rejected
[2026-07-22T03:54:34+0800] checkpointed index=62/127 durable_singles=62 candidate=case-s44318-024-00257-4-figure4-panelc-quantification-ffa87b7c7480 status=accepted
[2026-07-22T03:54:50+0800] checkpointed index=63/127 durable_singles=63 candidate=case-s44318-024-00353-5-figure1-panele-d9d6e6aeb04c status=rejected
[2026-07-22T03:55:08+0800] checkpointed index=64/127 durable_singles=64 candidate=case-s44318-025-00395-3-figure2-panela-882262b318b9 status=accepted
[2026-07-22T03:55:20+0800] checkpointed index=65/127 durable_singles=65 candidate=case-s44318-025-00395-3-figure2-panelb-b496cfe50b1c status=accepted
[2026-07-22T03:55:35+0800] checkpointed index=66/127 durable_singles=66 candidate=case-s44318-025-00395-3-figure2-panelc-b30a2b1b83fe status=accepted
[2026-07-22T03:55:51+0800] checkpointed index=67/127 durable_singles=67 candidate=case-s44318-025-00395-3-figure2-paneld-e01954d84e68 status=accepted
[2026-07-22T03:56:03+0800] checkpointed index=68/127 durable_singles=68 candidate=case-s44318-025-00395-3-figure2-panele-e77c7dbe63a2 status=accepted
[2026-07-22T03:56:28+0800] checkpointed index=69/127 durable_singles=69 candidate=case-s44318-025-00570-6-figure1-panelb-9e33b138a892 status=rejected
[2026-07-22T03:56:47+0800] checkpointed index=70/127 durable_singles=70 candidate=case-s44319-024-00097-7-figure1-panelg-ff478fff2810 status=rejected
[2026-07-22T03:57:02+0800] checkpointed index=71/127 durable_singles=71 candidate=case-s44319-024-00097-7-figure1-panelh-cc63c2b7bf45 status=rejected
[2026-07-22T03:57:16+0800] checkpointed index=72/127 durable_singles=72 candidate=case-s44319-024-00176-9-figure4-panelb-9ab0d6d48f6a status=rejected
[2026-07-22T03:57:40+0800] checkpointed index=73/127 durable_singles=73 candidate=case-s44319-024-00227-1-figure10-panelb-5d7a0f9812ea status=rejected
[2026-07-22T03:57:52+0800] checkpointed index=74/127 durable_singles=74 candidate=case-s44319-024-00227-1-figure10-paneld-0129a2b1dfdd status=rejected
[2026-07-22T03:58:05+0800] checkpointed index=75/127 durable_singles=75 candidate=case-s44319-024-00227-1-figure10-panele-41337d9e540c status=rejected
[2026-07-22T03:58:22+0800] checkpointed index=76/127 durable_singles=76 candidate=case-s44319-024-00227-1-figure10-panelg-13f694dbcdc2 status=rejected
[2026-07-22T03:58:40+0800] checkpointed index=77/127 durable_singles=77 candidate=case-s44319-024-00227-1-figure10-panelh-9a01fd4cace0 status=accepted
[2026-07-22T03:58:57+0800] checkpointed index=78/127 durable_singles=78 candidate=case-s44319-024-00227-1-figure10-panelj-565d48454c93 status=rejected
[2026-07-22T03:59:21+0800] checkpointed index=79/127 durable_singles=79 candidate=case-s44319-024-00228-0-figure1-panelh-0421839f9fbd status=rejected
[2026-07-22T03:59:44+0800] checkpointed index=80/127 durable_singles=80 candidate=case-s44319-024-00340-1-figure1-paneld-e845628d6996 status=rejected
[2026-07-22T03:59:57+0800] checkpointed index=81/127 durable_singles=81 candidate=case-s44319-024-00340-1-figure1-panelh-c7a92c1ac047 status=rejected
[2026-07-22T04:00:17+0800] checkpointed index=82/127 durable_singles=82 candidate=case-s44319-025-00406-8-figure2-panela-b8aed381a72d status=rejected
[2026-07-22T04:00:35+0800] checkpointed index=83/127 durable_singles=83 candidate=case-s44319-025-00406-8-figure2-paneld-9a3db425b96e status=rejected
[2026-07-22T04:00:56+0800] checkpointed index=84/127 durable_singles=84 candidate=case-s44319-025-00452-2-figure1-panelj-60229ec19ab1 status=rejected
[2026-07-22T04:01:24+0800] checkpointed index=85/127 durable_singles=85 candidate=case-s44319-025-00493-7-figure6-paneld-91066b53b700 status=rejected
[2026-07-22T04:01:40+0800] checkpointed index=86/127 durable_singles=86 candidate=case-s44319-025-00493-7-figure6-paneli-46fd5ba93a26 status=rejected
[2026-07-22T04:01:57+0800] checkpointed index=87/127 durable_singles=87 candidate=case-s44319-025-00493-7-figure6-panelj-a4a77041b7dc status=rejected
[2026-07-22T04:02:16+0800] checkpointed index=88/127 durable_singles=88 candidate=case-s44319-025-00503-8-figure4-panelc-597e16685e73 status=rejected
[2026-07-22T04:03:07+0800] checkpointed index=89/127 durable_singles=89 candidate=case-s44319-025-00521-6-figure1-panela-dp-vs-baseline-5type-piestats-2024-05-24-68145ba09161 status=rejected
[2026-07-22T04:03:36+0800] checkpointed index=90/127 durable_singles=90 candidate=case-s44319-025-00606-2-figure1-paneld-bubble-plot-source-data-29aaa1428519 status=rejected
[2026-07-22T04:03:51+0800] checkpointed index=91/127 durable_singles=91 candidate=case-s44319-025-00606-2-figure1-panelf-colocalization-scatter-rawdata-cd4c9a98e010 status=rejected
[2026-07-22T04:04:44+0800] checkpointed index=92/127 durable_singles=92 candidate=case-s44319-025-00632-0-figure6-paneld-983d7369e2c1 status=rejected
[2026-07-22T04:05:15+0800] checkpointed index=93/127 durable_singles=93 candidate=case-s44320-025-00124-2-figure3-panelh-and-3k-4dc5f3e9899e status=rejected
[2026-07-22T04:05:39+0800] checkpointed index=94/127 durable_singles=94 candidate=case-s44320-025-00157-7-figure3-panelh-e4ab2e3699ef status=rejected
[2026-07-22T04:06:02+0800] checkpointed index=95/127 durable_singles=95 candidate=case-s44320-026-00224-7-figure1-panelb-c8905e149489 status=rejected
[2026-07-22T04:06:27+0800] checkpointed index=96/127 durable_singles=96 candidate=case-s44321-024-00049-7-figure3-panelh-e1c78831580c status=rejected
[2026-07-22T04:06:42+0800] checkpointed index=97/127 durable_singles=97 candidate=case-s44321-024-00067-5-figure8-panelb-65684748dbb2 status=rejected
[2026-07-22T04:06:58+0800] checkpointed index=98/127 durable_singles=98 candidate=case-s44321-024-00067-5-figure8-paneld-b17c6d5e6b35 status=rejected
[2026-07-22T04:07:19+0800] checkpointed index=99/127 durable_singles=99 candidate=case-s44321-024-00067-5-figure8-panelg-ef3a7ea4cd80 status=rejected
[2026-07-22T04:07:36+0800] checkpointed index=100/127 durable_singles=100 candidate=case-s44321-024-00067-5-figure8-paneli-bdf292ed08e2 status=rejected
[2026-07-22T04:07:52+0800] checkpointed index=101/127 durable_singles=101 candidate=case-s44321-024-00067-5-figure8-panelk-4c2dec5473a2 status=rejected
[2026-07-22T04:08:07+0800] checkpointed index=102/127 durable_singles=102 candidate=case-s44321-024-00067-5-figure8-panelo-8890ac99febf status=rejected
[2026-07-22T04:08:20+0800] checkpointed index=103/127 durable_singles=103 candidate=case-s44321-024-00067-5-figure8-panelq-9e9f20cfa332 status=rejected
[2026-07-22T04:08:42+0800] checkpointed index=104/127 durable_singles=104 candidate=case-s44321-024-00077-3-figure1-panelj-b74ffc550ab5 status=rejected
[2026-07-22T04:09:04+0800] checkpointed index=105/127 durable_singles=105 candidate=case-s44321-024-00120-3-figure6-panele-bfc21b71f36e status=rejected
[2026-07-22T04:09:21+0800] checkpointed index=106/127 durable_singles=106 candidate=case-s44321-024-00120-3-figure6-panelf-e7081963f23e status=rejected
[2026-07-22T04:09:40+0800] checkpointed index=107/127 durable_singles=107 candidate=case-s44321-024-00120-3-figure6-paneli-7585608aa472 status=rejected
[2026-07-22T04:09:57+0800] checkpointed index=108/127 durable_singles=108 candidate=case-s44321-024-00120-3-figure6-panelj-12fa1c8fe971 status=rejected
[2026-07-22T04:10:13+0800] checkpointed index=109/127 durable_singles=109 candidate=case-s44321-024-00128-9-figure2-paneln-a9ce7b81af3f status=accepted
[2026-07-22T04:10:31+0800] checkpointed index=110/127 durable_singles=110 candidate=case-s44321-025-00233-3-figure3-panelb-b4c46a75a37f status=rejected
[2026-07-22T04:10:45+0800] checkpointed index=111/127 durable_singles=111 candidate=case-s44321-025-00233-3-figure3-panelc-b6bbe60ff809 status=rejected
[2026-07-22T04:10:58+0800] checkpointed index=112/127 durable_singles=112 candidate=case-s44321-025-00233-3-figure3-panele-3633d26e81da status=rejected
[2026-07-22T04:11:19+0800] checkpointed index=113/127 durable_singles=113 candidate=case-s44321-025-00233-3-figure3-panelf-5b615a7b81e1 status=rejected
[2026-07-22T04:11:35+0800] checkpointed index=114/127 durable_singles=114 candidate=case-s44321-025-00233-3-figure3-panelg-043283cae102 status=rejected
[2026-07-22T04:11:51+0800] checkpointed index=115/127 durable_singles=115 candidate=case-s44321-025-00233-3-figure3-panelh-639e9f8f4bf8 status=rejected
[2026-07-22T04:12:09+0800] checkpointed index=116/127 durable_singles=116 candidate=case-s44321-025-00233-3-figure3-paneli-3ff348e83f54 status=rejected
[2026-07-22T04:12:28+0800] checkpointed index=117/127 durable_singles=117 candidate=case-s44321-025-00233-3-figure3-panelj-e418f4bb953a status=rejected
[2026-07-22T04:12:43+0800] checkpointed index=118/127 durable_singles=118 candidate=case-s44321-025-00233-3-figure3-panelk-c8f61200fa25 status=rejected
[2026-07-22T04:13:01+0800] checkpointed index=119/127 durable_singles=119 candidate=case-s44321-025-00233-3-figure3-panell-df56ed136692 status=rejected
[2026-07-22T04:13:17+0800] checkpointed index=120/127 durable_singles=120 candidate=case-s44321-025-00233-3-figure3-panelm-f90072cb5549 status=rejected
[2026-07-22T04:13:32+0800] checkpointed index=121/127 durable_singles=121 candidate=case-s44321-025-00233-3-figure3-paneln-cb57a0d5049a status=rejected
[2026-07-22T04:13:47+0800] checkpointed index=122/127 durable_singles=122 candidate=case-s44321-025-00233-3-figure3-panelo-a586198f70db status=rejected
[2026-07-22T04:14:04+0800] checkpointed index=123/127 durable_singles=123 candidate=case-s44321-025-00325-0-figure3-panele-df815de275b1 status=rejected
[2026-07-22T04:14:33+0800] checkpointed index=124/127 durable_singles=124 candidate=case-s44321-025-00364-7-figure5-panelf-9ddfbc4964ce status=rejected
[2026-07-22T04:14:57+0800] checkpointed index=125/127 durable_singles=125 candidate=case-s44321-025-00371-8-figure2-panelc-8750f22f1b37 status=rejected
[2026-07-22T04:15:19+0800] checkpointed index=126/127 durable_singles=126 candidate=case-s44321-025-00371-8-figure2-paneli-40007f16a3f4 status=rejected
[2026-07-22T04:15:37+0800] checkpointed index=127/127 durable_singles=127 candidate=case-s44321-026-00396-7-figure2-panelc-source-data-cde9ae2c4589 status=rejected
[2026-07-22T04:15:37+0800] checkpoint-complete durable_singles=127
