[2026-07-22T04:17:23+0800] checkpoint-start total_singles=76 durable_singles=0 rubric_hash=c58d94232a71b5ff9f5ec4518f3e83dcba6c34938fa762818b21726544d82c5f
[2026-07-22T04:36:21+0800] checkpointed index=50/76 durable_singles=50 candidate=case-s44319-024-00227-1-figure10-panelj-565d48454c93 status=rejected
[2026-07-22T04:36:38+0800] checkpointed index=51/76 durable_singles=51 candidate=case-s44319-024-00340-1-figure1-paneld-e845628d6996 status=rejected
[2026-07-22T04:36:53+0800] checkpointed index=52/76 durable_singles=52 candidate=case-s44319-024-00340-1-figure1-panelh-c7a92c1ac047 status=rejected
[2026-07-22T04:37:09+0800] checkpointed index=53/76 durable_singles=53 candidate=case-s44319-025-00406-8-figure2-paneld-9a3db425b96e status=rejected
[2026-07-22T04:37:33+0800] checkpointed index=54/76 durable_singles=54 candidate=case-s44319-025-00503-8-figure4-panelc-597e16685e73 status=rejected
[2026-07-22T04:38:21+0800] checkpointed index=55/76 durable_singles=55 candidate=case-s44319-025-00521-6-figure1-panela-dp-vs-baseline-5type-piestats-2024-05-24-68145ba09161 status=rejected
[2026-07-22T04:38:50+0800] checkpointed index=56/76 durable_singles=56 candidate=case-s44319-025-00606-2-figure1-paneld-bubble-plot-source-data-29aaa1428519 status=rejected
[2026-07-22T04:39:04+0800] checkpointed index=57/76 durable_singles=57 candidate=case-s44319-025-00606-2-figure1-panelf-colocalization-scatter-rawdata-cd4c9a98e010 status=rejected
[2026-07-22T04:40:01+0800] checkpointed index=58/76 durable_singles=58 candidate=case-s44319-025-00632-0-figure6-paneld-983d7369e2c1 status=rejected
[2026-07-22T04:40:35+0800] checkpointed index=59/76 durable_singles=59 candidate=case-s44320-025-00124-2-figure3-panelh-and-3k-4dc5f3e9899e status=rejected
[2026-07-22T04:41:03+0800] checkpointed index=60/76 durable_singles=60 candidate=case-s44321-024-00049-7-figure3-panelh-e1c78831580c status=rejected
[2026-07-22T04:41:19+0800] checkpointed index=61/76 durable_singles=61 candidate=case-s44321-024-00077-3-figure1-panelj-b74ffc550ab5 status=rejected
[2026-07-22T04:41:37+0800] checkpointed index=62/76 durable_singles=62 candidate=case-s44321-025-00233-3-figure3-panelb-b4c46a75a37f status=rejected
[2026-07-22T04:41:54+0800] checkpointed index=63/76 durable_singles=63 candidate=case-s44321-025-00233-3-figure3-panelc-b6bbe60ff809 status=rejected
[2026-07-22T04:42:11+0800] checkpointed index=64/76 durable_singles=64 candidate=case-s44321-025-00233-3-figure3-panele-3633d26e81da status=rejected
[2026-07-22T04:42:28+0800] checkpointed index=65/76 durable_singles=65 candidate=case-s44321-025-00233-3-figure3-panelf-5b615a7b81e1 status=rejected
[2026-07-22T04:42:45+0800] checkpointed index=66/76 durable_singles=66 candidate=case-s44321-025-00233-3-figure3-panelg-043283cae102 status=rejected
[2026-07-22T04:43:02+0800] checkpointed index=67/76 durable_singles=67 candidate=case-s44321-025-00233-3-figure3-panelh-639e9f8f4bf8 status=rejected
[2026-07-22T04:43:22+0800] checkpointed index=68/76 durable_singles=68 candidate=case-s44321-025-00233-3-figure3-paneli-3ff348e83f54 status=rejected
[2026-07-22T04:43:42+0800] checkpointed index=69/76 durable_singles=69 candidate=case-s44321-025-00233-3-figure3-panelj-e418f4bb953a status=rejected
[2026-07-22T04:43:56+0800] checkpointed index=70/76 durable_singles=70 candidate=case-s44321-025-00233-3-figure3-panelk-c8f61200fa25 status=rejected
[2026-07-22T04:44:13+0800] checkpointed index=71/76 durable_singles=71 candidate=case-s44321-025-00233-3-figure3-panell-df56ed136692 status=rejected
[2026-07-22T04:44:27+0800] checkpointed index=72/76 durable_singles=72 candidate=case-s44321-025-00233-3-figure3-panelm-f90072cb5549 status=rejected
[2026-07-22T04:44:44+0800] checkpointed index=73/76 durable_singles=73 candidate=case-s44321-025-00233-3-figure3-paneln-cb57a0d5049a status=rejected
[2026-07-22T04:44:57+0800] checkpointed index=74/76 durable_singles=74 candidate=case-s44321-025-00233-3-figure3-panelo-a586198f70db status=rejected
[2026-07-22T04:45:13+0800] checkpointed index=75/76 durable_singles=75 candidate=case-s44321-025-00364-7-figure5-panelf-9ddfbc4964ce status=rejected
[2026-07-22T04:45:33+0800] checkpointed index=76/76 durable_singles=76 candidate=case-s44321-026-00396-7-figure2-panelc-source-data-cde9ae2c4589 status=rejected
[2026-07-22T04:45:33+0800] checkpoint-complete durable_singles=76
